,event_title,date,location
285,UFC Fight Night: Bigfoot vs Mir,22-2015-02,"Porto Alegre, Rio Grande do Sul, Brazil"
286,UFC Fight Night: Henderson vs Thatch,14-2015-02,"Broomfield, Colorado, USA"
287,UFC 183: Silva vs Diaz,31-2015-01,"Las Vegas, Nevada, USA"
288,UFC on FOX: Gustafsson vs Johnson,24-2015-01,"Stockholm, Sweden"
289,UFC Fight Night: McGregor vs Siver,18-2015-01,"Boston, Massachusetts, USA"
290,UFC 182: Jones vs Cormier,03-2015-01,"Las Vegas, Nevada, USA"
291,UFC Fight Night: Machida vs Dollaway,20-2014-12,"Barueri, Sao Paulo, Brazil"
292,UFC on FOX: Dos Santos vs Miocic,13-2014-12,"Phoenix, Arizona, USA"
293,The Ultimate Fighter: A Champion Will Be Crowned Finale,12-2014-12,"Las Vegas, Nevada, USA"
294,UFC 181: Hendricks vs Lawler II,06-2014-12,"Las Vegas, Nevada, USA"
295,UFC Fight Night: Edgar vs Swanson,22-2014-11,"Austin, Texas, USA"
296,UFC 180: Werdum vs Hunt,15-2014-11,"Mexico City, Distrito Federal, Mexico"
297,UFC Fight Night 56: Shogun vs Saint Preux,08-2014-11,"Uberlandia, Minas Gerais, Brazil"
298,UFC Fight Night: Rockhold vs Bisping,07-2014-11,"Sydney, New South Wales, Australia"
299,UFC 179: Aldo vs Mendes 2,25-2014-10,"Rio de Janeiro, Brazil"
300,UFC Fight Night: MacDonald vs Saffiedine,04-2014-10,"Halifax, Nova Scotia, Canada"
301,UFC Fight Night: Nelson vs Story,04-2014-10,"Stockholm, Sweden"
302,UFC 178: Johnson vs Cariaso,27-2014-09,"Las Vegas, Nevada, USA"
303,UFC Fight Night: Hunt vs Nelson,20-2014-09,"Saitama, Japan"
304,UFC Fight Night: Bigfoot vs Arlovski,13-2014-09,"Brasilia, Distrito Federal, Brazil"
305,UFC Fight Night: Jacare vs Mousasi,05-2014-09,"Ledyard, Connecticut, USA"
306,UFC 177: Dillashaw vs Soto,30-2014-08,"Sacramento, California, USA"
307,UFC Fight Night: Henderson vs Dos Anjos,23-2014-08,"Tulsa, Oklahoma, USA"
308,UFC Fight Night: Bisping vs Le,23-2014-08,"Macau, China"
309,UFC Fight Night: Bader vs Saint Preux,16-2014-08,"Bangor, Maine, USA"
310,UFC on FOX: Lawler vs Brown,26-2014-07,"San Jose, California, USA"
311,UFC Fight Night: McGregor vs Brandao,19-2014-07,"Dublin, Leinster, Ireland"
312,UFC Fight Night: Cowboy vs Miller,16-2014-07,"Atlantic City, New Jersey, USA"
313,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,06-2014-07,"Las Vegas, Nevada, USA"
314,UFC 175: Weidman vs Machida,05-2014-07,"Las Vegas, Nevada, USA"
315,UFC Fight Night: Swanson vs Stephens,28-2014-06,"San Antonio, Texas, USA"
316,UFC Fight Night: Te Huna vs Marquardt,28-2014-06,"Auckland, New Zealand"
317,UFC 174: Johnson vs Bagautinov,14-2014-06,"Vancouver, British Columbia, Canada"
318,UFC Fight Night: Henderson vs Khabilov,07-2014-06,"Albuquerque, New Mexico, USA"
319,UFC Fight Night: Miocic vs Maldonado,31-2014-05,"Sao Paulo, Brazil"
320,UFC Fight Night: Munoz vs Mousasi,31-2014-05,"Berlin, Germany"
321,UFC 173: Barao vs Dillashaw,24-2014-05,"Las Vegas, Nevada, USA"
322,UFC Fight Night: Brown vs Silva,10-2014-05,"Cincinnati, Ohio, USA"
323,UFC 172: Jones vs Teixeira,26-2014-04,"Baltimore, Maryland, USA"
324,UFC on FOX: Werdum vs Browne,19-2014-04,"Orlando, Florida, USA"
325,UFC Fight Night: Bisping vs Kennedy,16-2014-04,"Quebec City, Quebec, Canada"
326,UFC Fight Night: Minotauro vs Nelson,11-2014-04,"Abu Dhabi, United Arab Emirates"
327,UFC Fight Night: Shogun vs Henderson 2,23-2014-03,"Natal, Rio Grande do Norte, Brazil"
328,UFC 171: Hendricks vs Lawler,15-2014-03,"Dallas, Texas, USA"
329,UFC Fight Night: Gustafsson vs Manuwa,08-2014-03,"London, England, United Kingdom"
330,UFC Fight Night: Kim vs Hathaway,01-2014-03,"Macau, China"
331,UFC 170: Rousey vs McMann,22-2014-02,"Las Vegas, Nevada, USA"
332,UFC Fight Night: Machida vs Mousasi,15-2014-02,"Jaragua do Sul, Santa Catarina, Brazil"
333,UFC 169: Barao vs Faber 2,01-2014-02,"Newark, New Jersey, USA"
334,UFC on FOX: Henderson vs Thomson,25-2014-01,"Chicago, Illinois, USA"
335,UFC Fight Night: Rockhold vs Philippou,15-2014-01,"Duluth, Georgia, USA"
336,UFC Fight Night: Saffiedine vs Lim,04-2014-01,"Singapore, Singapore"
337,UFC 168: Weidman vs Silva 2,28-2013-12,"Las Vegas, Nevada, USA"
338,UFC on FOX: Johnson vs. Benavidez 2,14-2013-12,"Sacramento, California, USA"
339,UFC Fight Night: Hunt vs Bigfoot,06-2013-12,"Brisbane, Queensland, Australia"
340,The Ultimate Fighter: Team Rousey vs. Team Tate Finale,30-2013-11,"Las Vegas, Nevada, USA"
341,UFC 167: St-Pierre vs Hendricks,16-2013-11,"Las Vegas, Nevada, USA"
342,UFC Fight Night: Belfort vs Henderson 2,09-2013-11,"Goiania, Goias, Brazil"
343,UFC Fight Night: Fight for the Troops 3,06-2013-11,"Fort Campbell, Kentucky, USA"
344,UFC Fight Night: Machida vs Munoz,26-2013-10,"Manchester, England, United Kingdom"
345,UFC 166: Velasquez vs Dos Santos 3,19-2013-10,"Houston, Texas, USA"
346,UFC Fight Night: Maia vs Shields,09-2013-10,"Barueri, Sao Paulo, Brazil"
347,UFC 165: Jones vs Gustafsson,21-2013-09,"Toronto, Ontario, Canada"
348,UFC Fight Night: Teixeira vs Bader,04-2013-09,"Belo Horizonte, Minas Gerais, Brazil"
349,UFC 164: Henderson vs Pettis 2,31-2013-08,"Milwaukee, Wisconsin, USA"
350,UFC Fight Night: Condit vs Kampmann 2,28-2013-08,"Indianapolis, Indiana, USA"
351,UFC Fight Night: Shogun vs Sonnen,17-2013-08,"Boston, Massachusetts, USA"
352,UFC 163: Aldo vs Jung,03-2013-08,"Rio de Janeiro, Brazil"
353,UFC on FOX: Johnson vs Moraga,27-2013-07,"Seattle, Washington, USA"
354,UFC 162: Silva vs Weidman,06-2013-07,"Las Vegas, Nevada, USA"
355,UFC 161: Evans vs Henderson,15-2013-06,"Winnipeg, Manitoba, Canada"
356,UFC on FUEL TV: Nogueira vs. Werdum,08-2013-06,"Fortaleza, Ceara, Brazil"
357,UFC 160: Velasquez vs Silva 2,25-2013-05,"Las Vegas, Nevada, USA"
358,UFC on FX: Belfort vs. Rockhold,18-2013-05,"Jaragua do Sul, Santa Catarina, Brazil"
359,UFC 159: Jones vs Sonnen,27-2013-04,"Newark, New Jersey, USA"
360,UFC on FOX: Henderson vs Melendez,20-2013-04,"San Jose, California, USA"
361,The Ultimate Fighter: Team Jones vs. Team Sonnen Finale,13-2013-04,"Las Vegas, Nevada, USA"
362,UFC on FUEL TV: Mousasi vs Latifi,06-2013-04,"Stockholm, Sweden"
363,UFC 158: St-Pierre vs Diaz,16-2013-03,"Montreal, Quebec, Canada"
364,UFC on FUEL TV: Silva vs. Stann,02-2013-03,"Saitama, Japan"
365,UFC 157: Rousey vs Carmouche,23-2013-02,"Anaheim, California, USA"
366,UFC on FUEL TV: Barao vs McDonald,16-2013-02,"London, England, United Kingdom"
367,UFC 156: Aldo vs Edgar,02-2013-02,"Las Vegas, Nevada, USA"
368,UFC on FOX: Johnson vs Dodson,26-2013-01,"Chicago, Illinois, USA"
369,UFC on FX: Belfort vs Bisping,19-2013-01,"Sao Paulo, Brazil"
370,UFC 155: Dos Santos vs Velasquez II,29-2012-12,"Las Vegas, Nevada, USA"
371,The Ultimate Fighter: Team Carwin vs. Team Nelson Finale,15-2012-12,"Las Vegas, Nevada, USA"
372,UFC on FX: Sotiropoulos vs Pearson,14-2012-12,"Gold Coast, Queensland, Australia"
373,UFC on FOX: Henderson vs Diaz,08-2012-12,"Seattle, Washington, USA"
374,UFC 154: St-Pierre vs Condit,17-2012-11,"Montreal, Quebec, Canada"
375,UFC Macao: Franklin vs Le,10-2012-11,"Macau, China"
376,UFC 153: Silva vs Bonnar,13-2012-10,"Rio de Janeiro, Brazil"
377,UFC on FX: Browne vs Bigfoot,05-2012-10,"Minneapolis, Minnesota, USA"
378,UFC on FUEL TV: Struve vs Miocic,29-2012-09,"Nottingham, England, United Kingdom"
379,UFC 152: Jones vs Belfort,22-2012-09,"Toronto, Ontario, Canada"
380,UFC 150: Henderson vs Edgar II,11-2012-08,"Denver, Colorado, USA"
381,UFC on FOX: Shogun vs Vera,04-2012-08,"Los Angeles, California, USA"
382,UFC 149: Faber vs Barao,21-2012-07,"Calgary, Alberta, Canada"
383,UFC on FUEL TV: Munoz vs Weidman,11-2012-07,"San Jose, California, USA"
384,UFC 148: Silva vs Sonnen 2,07-2012-07,"Las Vegas, Nevada, USA"
385,UFC 147: Silva vs Franklin 2,23-2012-06,"Belo Horizonte, Minas Gerais, Brazil"
386,UFC on FX: Maynard vs Guida,22-2012-06,"Atlantic City, New Jersey, USA"
387,UFC on FX: Johnson vs McCall,08-2012-06,"Sunrise, Florida, USA"
388,The Ultimate Fighter: Live Finale,01-2012-06,"Las Vegas, Nevada, USA"
389,UFC 146: Dos Santos vs Mir,26-2012-05,"Las Vegas, Nevada, USA"
390,UFC on FUEL TV: Korean Zombie vs Poirier,15-2012-05,"Fairfax, Virginia, USA"
391,UFC on FOX: Diaz vs Miller,05-2012-05,"East Rutherford, New Jersey, USA"
392,UFC 145: Jones vs Evans,21-2012-04,"Atlanta, Georgia, USA"
393,UFC on FUEL TV: Gustafsson vs Silva,14-2012-04,"Stockholm, Sweden"
394,UFC on FX: Alves vs Kampmann,02-2012-03,"Sydney, New South Wales, Australia"
395,UFC 144: Edgar vs Henderson,25-2012-02,"Saitama, Japan"
396,UFC on FUEL TV: Sanchez vs Ellenberger,15-2012-02,"Omaha, Nebraska, USA"
397,UFC 143: Diaz vs Condit,04-2012-02,"Las Vegas, Nevada, USA"
398,UFC on FOX: Evans vs Davis,28-2012-01,"Chicago, Illinois, USA"
399,UFC on FX: Guillard vs Miller,20-2012-01,"Nashville, Tennessee, USA"
400,UFC 142: Aldo vs Mendes,14-2012-01,"Rio de Janeiro, Brazil"
401,UFC 141: Lesnar vs Overeem,30-2011-12,"Las Vegas, Nevada, USA"
402,UFC 140: Jones vs Machida,10-2011-12,"Toronto, Ontario, Canada"
403,The Ultimate Fighter: Team Bisping vs Team Miller Finale,03-2011-12,"Las Vegas, Nevada, USA"
404,UFC 139: Shogun vs Henderson,19-2011-11,"San Jose, California, USA"
405,UFC on FOX: Velasquez vs Dos Santos,12-2011-11,"Anaheim, California, USA"
406,UFC 138: Leben vs Munoz,05-2011-11,"Birmingham, England, United Kingdom"
407,UFC 137: Penn vs Diaz,29-2011-10,"Las Vegas, Nevada, USA"
408,UFC 136: Edgar vs Maynard 3,08-2011-10,"Houston, Texas, USA"
409,UFC Live: Cruz vs Johnson,01-2011-10,"Washington, DC, USA"
410,UFC 135: Jones vs Rampage,24-2011-09,"Denver, Colorado, USA"
411,UFC Fight Night: Shields vs Ellenberger,17-2011-09,"New Orleans, Louisiana, USA"
412,UFC 134: Silva vs Okami,27-2011-08,"Rio de Janeiro, Brazil"
413,UFC Live: Hardy vs Lytle,14-2011-08,"Milwaukee, Wisconsin, USA"
414,UFC 133: Evans vs Ortiz 2,06-2011-08,"Philadelphia, Pennsylvania, USA"
415,UFC 132: Cruz vs Faber,02-2011-07,"Las Vegas, Nevada, USA"
416,UFC Live: Kongo vs Barry,26-2011-06,"Pittsburgh, Pennsylvania, USA"
417,UFC 131: Dos Santos vs Carwin,11-2011-06,"Vancouver, British Columbia, Canada"
418,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,04-2011-06,"Las Vegas, Nevada, USA"
419,UFC 130: Rampage vs Hamill,28-2011-05,"Las Vegas, Nevada, USA"
420,UFC 129: St-Pierre vs Shields,30-2011-04,"Toronto, Ontario, Canada"
421,UFC Fight Night: Nogueira vs Davis,26-2011-03,"Seattle, Washington, USA"
422,UFC 128: Shogun vs Jones,19-2011-03,"Newark, New Jersey, USA"
423,UFC Live: Sanchez vs Kampmann,03-2011-03,"Louisville, Kentucky, USA"
424,UFC 127: Penn vs Fitch,26-2011-02,"Sydney, New South Wales, Australia"
425,UFC 126: Silva vs Belfort,05-2011-02,"Las Vegas, Nevada, USA"
426,UFC Fight Night: Fight for the Troops 2,22-2011-01,"Killeen, Texas, USA"
427,UFC 125: Resolution,01-2011-01,"Las Vegas, Nevada, USA"
428,UFC 124: St-Pierre vs Koscheck 2,11-2010-12,"Montreal, Quebec, Canada"
429,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,04-2010-12,"Las Vegas, Nevada, USA"
430,UFC 123: Rampage vs Machida,20-2010-11,"Auburn Hills, Michigan, USA"
431,UFC 122: Marquardt vs Okami,13-2010-11,"Oberhausen, North Rhine-Westphalia, Germany"
432,UFC 121: Lesnar vs Velasquez,23-2010-10,"Anaheim, California, USA"
433,UFC 120: Bisping vs Akiyama,16-2010-10,"London, England, United Kingdom"
434,UFC 119: Mir vs Cro Cop,25-2010-09,"Indianapolis, Indiana, USA"
435,UFC Fight Night: Marquardt vs Palhares,15-2010-09,"Austin, Texas, USA"
436,UFC 118: Edgar vs Penn 2,28-2010-08,"Boston, Massachusetts, USA"
437,UFC 117: Silva vs Sonnen,07-2010-08,"Oakland, California, USA"
438,UFC Live: Jones vs Matyushenko,01-2010-08,"San Diego, California, USA"
439,UFC 116: Lesnar vs Carwin,03-2010-07,"Las Vegas, Nevada, USA"
440,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,19-2010-06,"Las Vegas, Nevada, USA"
441,UFC 115: Liddell vs Franklin,12-2010-06,"Vancouver, British Columbia, Canada"
442,UFC 114: Rampage vs Evans,29-2010-05,"Las Vegas, Nevada, USA"
443,UFC 113: Machida vs Shogun 2,08-2010-05,"Montreal, Quebec, Canada"
444,UFC 112: Invincible,10-2010-04,"Abu Dhabi, United Arab Emirates"
445,UFC Fight Night: Florian vs Gomi,31-2010-03,"Charlotte, North Carolina, USA"
446,UFC 111: St-Pierre vs Hardy,27-2010-03,"Newark, New Jersey, USA"
447,UFC Live: Vera vs Jones,21-2010-03,"Broomfield, Colorado, USA"
448,UFC 110: Nogueira vs Velasquez,20-2010-02,"Sydney, New South Wales, Australia"
449,UFC 109: Relentless,06-2010-02,"Las Vegas, Nevada, USA"
450,UFC Fight Night: Maynard vs Diaz,11-2010-01,"Fairfax, Virginia, USA"
451,UFC 108: Evans vs Silva,02-2010-01,"Las Vegas, Nevada, USA"
452,UFC 107: Penn vs Sanchez,12-2009-12,"Memphis, Tennessee, USA"
453,The Ultimate Fighter: Heavyweights Finale,05-2009-12,"Las Vegas, Nevada, USA"
454,UFC 106: Ortiz vs Griffin 2,21-2009-11,"Las Vegas, Nevada, USA"
455,UFC 105: Couture vs Vera,14-2009-11,"Manchester, England, United Kingdom"
456,UFC 104: Machida vs Shogun,24-2009-10,"Los Angeles, California, USA"
457,UFC 103: Franklin vs Belfort,19-2009-09,"Dallas, Texas, USA"
458,UFC Fight Night: Diaz vs Guillard,16-2009-09,"Oklahoma City, Oklahoma, USA"
459,UFC 102: Couture vs Nogueira,29-2009-08,"Portland, Oregon, USA"
460,UFC 101: Declaration,08-2009-08,"Philadelphia, Pennsylvania, USA"
461,UFC 100,11-2009-07,"Las Vegas, Nevada, USA"
462,The Ultimate Fighter: United States vs. United Kingdom Finale,20-2009-06,"Las Vegas, Nevada, USA"
463,UFC 99: The Comeback,13-2009-06,"Cologne, North Rhine-Westphalia, Germany"
464,UFC 98: Evans vs Machida,23-2009-05,"Las Vegas, Nevada, USA"
465,UFC 97: Redemption,18-2009-04,"Montreal, Quebec, Canada"
466,UFC Fight Night: Condit vs Kampmann,01-2009-04,"Nashville, Tennessee, USA"
467,UFC 96: Jackson vs Jardine,07-2009-03,"Columbus, Ohio, USA"
468,UFC 95: Sanchez vs Stevenson,21-2009-02,"London, England, United Kingdom"
469,UFC Fight Night: Lauzon vs Stephens,07-2009-02,"Tampa, Florida, USA"
470,UFC 94: St-Pierre vs Penn 2,31-2009-01,"Las Vegas, Nevada, USA"
471,UFC 93: Franklin vs Henderson,17-2009-01,"Dublin, Leinster, Ireland"
472,UFC 92: The Ultimate 2008,27-2008-12,"Las Vegas, Nevada, USA"
473,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,13-2008-12,"Las Vegas, Nevada, USA"
474,UFC Fight Night - Fight for the Troops,10-2008-12,"Fayetteville, North Carolina, USA"
475,UFC 91: Couture vs Lesnar,15-2008-11,"Las Vegas, Nevada, USA"
476,UFC 90: Silva vs Cote,25-2008-10,"Rosemont, Illinois, USA"
477,UFC 89: Bisping vs Leben,18-2008-10,"Birmingham, England, United Kingdom"
478,UFC Fight Night: Diaz vs Neer,17-2008-09,"Omaha, Nebraska, USA"
479,UFC 88: Breakthrough,06-2008-09,"Atlanta, Georgia, USA"
480,UFC 87: Seek And Destroy,09-2008-08,"Minneapolis, Minnesota, USA"
481,UFC: Silva vs Irvin,19-2008-07,"Las Vegas, Nevada, USA"
482,UFC 86: Jackson vs Griffin,05-2008-07,"Las Vegas, Nevada, USA"
483,The Ultimate Fighter: Team Rampage vs Team Forrest Finale,21-2008-06,"Las Vegas, Nevada, USA"
484,UFC 85: Bedlam,07-2008-06,"London, England, United Kingdom"
485,UFC 84: Ill Will,24-2008-05,"Las Vegas, Nevada, USA"
486,UFC 83: Serra vs St-Pierre 2,19-2008-04,"Montreal, Quebec, Canada"
487,UFC Fight Night: Florian vs Lauzon,02-2008-04,"Broomfield, Colorado, USA"
488,UFC 82: Pride of a Champion,01-2008-03,"Columbus, Ohio, USA"
489,UFC 81: Breaking Point,02-2008-02,"Las Vegas, Nevada, USA"
490,UFC Fight Night: Swick vs Burkman,23-2008-01,"Las Vegas, Nevada, USA"
491,UFC 80: Rapid Fire,19-2008-01,"Newcastle, England, United Kingdom"
492,UFC 79: Nemesis,29-2007-12,"Las Vegas, Nevada, USA"
493,The Ultimate Fighter: Team Hughes vs. Team Serra Finale,08-2007-12,"Las Vegas, Nevada, USA"
494,UFC 78: Validation,17-2007-11,"Newark, New Jersey, USA"
495,UFC 77: Hostile Territory,20-2007-10,"Cincinnati, Ohio, USA"
496,UFC 76: Knockout,22-2007-09,"Anaheim, California, USA"
497,UFC Fight Night: Thomas vs Florian,19-2007-09,"Las Vegas, Nevada, USA"
498,UFC 75: Champion vs Champion,08-2007-09,"London, England, United Kingdom"
499,UFC 74: Respect,25-2007-08,"Las Vegas, Nevada, USA"
500,UFC 73: Stacked,07-2007-07,"Sacramento, California, USA"
501,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,23-2007-06,"Las Vegas, Nevada, USA"
502,UFC 72: Victory,16-2007-06,"Belfast, Northern Ireland, United Kingdom"
503,UFC Fight Night: Stout vs Fisher,12-2007-06,"Hollywood, Florida, USA"
504,UFC 71: Liddell vs Jackson,26-2007-05,"Las Vegas, Nevada, USA"
505,UFC 70: Nations Collide,21-2007-04,"Manchester, England, United Kingdom"
506,UFC 69: Shootout,07-2007-04,"Houston, Texas, USA"
507,UFC Fight Night: Stevenson vs Guillard,05-2007-04,"Las Vegas, Nevada, USA"
508,UFC 68: The Uprising,03-2007-03,"Columbus, Ohio, USA"
509,UFC 67: All or Nothing,03-2007-02,"Las Vegas, Nevada, USA"
510,UFC Fight Night: Evans vs Salmon,25-2007-01,"Hollywood, Florida, USA"
511,UFC 66: Liddell vs Ortiz 2,30-2006-12,"Las Vegas, Nevada, USA"
512,UFC Fight Night: Sanchez vs Riggs,13-2006-12,"San Diego, California, USA"
513,UFC 65: Bad Intentions,18-2006-11,"Sacramento, California, USA"
514,The Ultimate Fighter: The Comeback Finale,11-2006-11,"Las Vegas, Nevada, USA"
515,UFC 64: Unstoppable,14-2006-10,"Las Vegas, Nevada, USA"
516,Ortiz vs Shamrock 3: The Final Chapter,10-2006-10,"Hollywood, Florida, USA"
517,UFC 63: Hughes vs Penn,23-2006-09,"Anaheim, California, USA"
518,UFC 62: Liddell vs Sobral,26-2006-08,"Las Vegas, Nevada, USA"
519,UFC Fight Night 6,17-2006-08,"Las Vegas, Nevada, USA"
520,UFC 61: Bitter Rivals,08-2006-07,"Las Vegas, Nevada, USA"
521,UFC Fight Night 5,28-2006-06,"Las Vegas, Nevada, USA"
522,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,24-2006-06,"Las Vegas, Nevada, USA"
523,UFC 60: Hughes vs Gracie,27-2006-05,"Los Angeles, California, USA"
524,UFC 59: Reality Check,15-2006-04,"Anaheim, California, USA"
525,UFC Fight Night 4,06-2006-04,"Las Vegas, Nevada, USA"
526,UFC 58: USA vs Canada,04-2006-03,"Las Vegas, Nevada, USA"
527,UFC 57: Liddell vs Couture 3,04-2006-02,"Las Vegas, Nevada, USA"
528,UFC Fight Night 3,16-2006-01,"Las Vegas, Nevada, USA"
529,UFC 56: Full Force,19-2005-11,"Las Vegas, Nevada, USA"
530,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,05-2005-11,"Las Vegas, Nevada, USA"
531,UFC 55: Fury,07-2005-10,"Uncasville, Connecticut, USA"
532,UFC Fight Night 2,03-2005-10,"Las Vegas, Nevada, USA"
533,UFC 54: Boiling Point,20-2005-08,"Las Vegas, Nevada, USA"
534,UFC Fight Night 1,06-2005-08,"Las Vegas, Nevada, USA"
535,UFC 53: Heavy Hitters,04-2005-06,"Atlantic City, New Jersey, USA"
536,UFC 52: Couture vs Liddell 2,16-2005-04,"Las Vegas, Nevada, USA"
537,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,09-2005-04,"Las Vegas, Nevada, USA"
538,UFC 51: Super Saturday,05-2005-02,"Las Vegas, Nevada, USA"
539,UFC 50: The War Of '04,22-2004-10,"Atlantic City, New Jersey, USA"
540,UFC 49: Unfinished Business,21-2004-08,"Las Vegas, Nevada, USA"
541,UFC 48: Payback,19-2004-06,"Las Vegas, Nevada, USA"
542,UFC 47: It's On!,02-2004-04,"Las Vegas, Nevada, USA"
543,UFC 46: Supernatural,31-2004-01,"Las Vegas, Nevada, USA"
544,UFC 45: Revolution,21-2003-11,"Uncasville, Connecticut, USA"
545,UFC 44: Undisputed,26-2003-09,"Las Vegas, Nevada, USA"
546,UFC 43: Meltdown,06-2003-06,"Las Vegas, Nevada, USA"
547,UFC 42: Sudden Impact,25-2003-04,"Miami, Florida, USA"
548,UFC 41: Onslaught,28-2003-02,"Atlantic City, New Jersey, USA"
549,UFC 40: Vendetta,22-2002-11,"Las Vegas, Nevada, USA"
550,UFC 39: The Warriors Return,27-2002-09,"Uncasville, Connecticut, USA"
551,UFC 38: Brawl at the Hall,13-2002-07,"London, England, United Kingdom"
552,UFC 37.5: As Real As It Gets,22-2002-06,"Las Vegas, Nevada, USA"
553,UFC 37: High Impact,10-2002-05,"Bossier City, Louisiana, USA"
554,UFC 36: Worlds Collide,22-2002-03,"Las Vegas, Nevada, USA"
555,UFC 35: Throwdown,11-2002-01,"Uncasville, Connecticut, USA"
556,UFC 34: High Voltage,02-2001-11,"Las Vegas, Nevada, USA"
557,UFC 33: Victory in Vegas,28-2001-09,"Las Vegas, Nevada, USA"
558,UFC 32: Showdown in the Meadowlands,29-2001-06,"East Rutherford, New Jersey, USA"
559,UFC 31: Locked and Loaded,04-2001-05,"Atlantic City, New Jersey, USA"
560,UFC 30: Battle on the Boardwalk,23-2001-02,"Atlantic City, New Jersey, USA"
561,UFC 29: Defense of the Belts,16-2000-12,"Tokyo, Japan"
562,UFC 28: High Stakes,17-2000-11,"Atlantic City, New Jersey, USA"
563,UFC 27: Ultimate Bad Boyz,22-2000-09,"New Orleans, Louisiana, USA"
564,UFC 26: Ultimate Field Of Dreams,09-2000-06,"Cedar Rapids, Iowa, USA"
565,UFC 25: Ultimate Japan 3,14-2000-04,"Tokyo, Japan"
566,UFC 24: First Defense,10-2000-03,"Lake Charles, Louisiana, USA"
567,UFC 23: Ultimate Japan 2,19-1999-11,"Chiba, Japan"
568,UFC 22: Only One Can be Champion,24-1999-09,"Lake Charles, Louisiana, USA"
569,UFC 21: Return of the Champions,16-1999-07,"Cedar Rapids, Iowa, USA"
570,UFC 20: Battle for the Gold,07-1999-05,"Birmingham, Alabama, USA"
571,UFC 19: Ultimate Young Guns,05-1999-03,"Bay St. Louis, Mississippi, USA"
572,UFC 18: The Road to the Heavyweight Title,08-1999-01,"New Orleans, Louisiana, USA"
573,UFC - Ultimate Brazil,16-1998-10,"Sao Paulo, Brazil"
574,UFC 17: Redemption,15-1998-05,"Mobile, Alabama, USA"
575,UFC 16: Battle in the Bayou,13-1998-03,"New Orleans, Louisiana, USA"
576,UFC - Ultimate Japan,21-1997-12,"Yokohama, Kanagawa, Japan"
577,UFC 15: Collision Course,17-1997-10,"Bay St. Louis, Mississippi, USA"
578,UFC 14: Showdown,27-1997-07,"Birmingham, Alabama, USA"
579,UFC 13: The Ultimate Force,30-1997-05,"Augusta, Georgia, USA"
580,UFC 12: Judgement Day,07-1997-02,"Dothan, Alabama, USA"
581,UFC - Ultimate Ultimate '96,07-1996-12,"Birmingham, Alabama, USA"
582,UFC 11: The Proving Ground,20-1996-09,"Augusta, Georgia, USA"
583,UFC 10: The Tournament,12-1996-07,"Birmingham, Alabama, USA"
584,UFC 9: Motor City Madness,17-1996-05,"Detroit, Michigan, USA"
585,UFC 8: David vs Goliath,16-1996-02,"San Juan, Puerto Rico"
586,UFC - Ultimate Ultimate '95,16-1995-12,"Denver, Colorado, USA"
587,UFC 7: The Brawl in Buffalo,08-1995-09,"Buffalo, New York, USA"
588,UFC 6: Clash of the Titans,14-1995-07,"Casper, Wyoming, USA"
589,UFC 5: The Return of the Beast,07-1995-04,"Charlotte, North Carolina, USA"
590,UFC 4: Revenge of the Warriors,16-1994-12,"Tulsa, Oklahoma, USA"
591,UFC 3: The American Dream,09-1994-09,"Charlotte, North Carolina, USA"
592,UFC 2: No Way Out,11-1994-03,"Denver, Colorado, USA"
